,Unnamed: 0,date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,detect_language,sentiment
0,0,2024-09-06,Claim who accept.,sense include lot effect fill general relationship save security land record class democrat nearly recent,4,morrowthomas,30,22,Flipkart,ar,Nepal,3.8.4,No,en,positive
1,1,2025-07-03,Growth pretty wish.,ask develop bag worker pass expert white arm similar compare manager action sure million crime member recognize past,4,sheakimberly,120,22,Flipkart,ar,Guinea,5.2.6,Yes,en,positive
2,2,,What then spend offer reason whom none.,customer address region try near risk girl spring paper create offer end imagine blood authority family water,5,katherineali,130,21,Flipkart,es,Kuwait,3.6.5,No,en,positive
3,3,,Say dog drug enter director strong student.,television loss election small detail red son include good act strategy eat behavior purpose start away use live government especially water raise travel,1,eric11,72,26,Amazon,pt,Uruguay,5.7.2,No,en,negative
4,4,,Purpose here beyond.,pass share lot manage world worker exactly develop office approach son long maybe hour company recently ready,5,chloe42,123,27,Amazon,zh,Mayotte,5.8.6,No,en,positive
5,5,,Care throw piece move firm main economy.,especially gas contain interest industry sell half conference capital office direction establish dog certainly change south computer,3,rosshannah,48,23,Flipkart,pt,Bahamas,4.3.6,Yes,en,neutral
6,6,2025-05-02,Maintain say threat high expert place certain.,live picture free guess night use election quickly paper officer practice mrs expect foot,3,daniellemcfarland,190,18,App Store,ja,Italy,4.2.7,Yes,en,neutral
7,7,,Share bar energy choice pressure those finally.,occur support author class direction fact environment popular know television guy minute late cold doctor edge season decision believe view list approach,2,joanramos,128,29,Website,zh,Brunei Darussalam,1.7.1,No,en,negative
8,8,,Source kind hand employee field.,stuff agreement professional team foot live window music evening know wide recently opportunity lead theory policy training loss,1,millskatherine,184,21,Flipkart,ja,Burkina Faso,2.1.7,No,en,negative
9,9,,Determine bad personal might son party.,light water local involve fall discuss nature country think join economic resource position,3,justin84,159,16,App Store,es,Isle of Man,3.8.6,No,en,neutral
10,10,2025-09-06,Management game find.,consumer face pm pay evening performance fly charge wide win example account bed,4,dbolton,138,16,Google Play,pt,Qatar,1.3.4,Yes,en,positive
11,11,,List race fine follow pick.,form weight argue simply author consider time economic high actually window research window east yes current,1,garnerandrea,111,20,Google Play,es,British Virgin Islands,4.2.4,Yes,en,negative
12,12,2025-07-06,Before peace us young personal art popular.,police cup think tell design plan foot cold everybody build smile ok real read choice eat,1,martinezjesse,83,19,Google Play,hi,Micronesia,3.5.6,Yes,en,negative
13,13,,Here control affect task simply draw return.,south cover ready group care magazine join far couple cost girl run story trial attention choice fast enjoy happen,2,rlee,135,24,App Store,pt,Luxembourg,2.2.2,Yes,en,negative
14,14,,Guess sea three state.,child executive important focus benefit probably analysis visit condition blood court price moment red hand paper audience decade man threat bag song,5,colonjoseph,97,26,Website,de,Armenia,4.9.2,Yes,en,positive
15,15,,Society nearly measure price.,strong democratic mind big discuss country moment eat personal condition black police group learn professor,4,umahoney,163,19,Amazon,ar,Mayotte,3.0.7,No,en,positive
16,16,,Try memory number occur behind.,include plan step food drive nation heart nearly season growth language risk work military year feel develop talk state ready,5,ikelly,40,24,Google Play,ar,Estonia,3.9.4,No,en,positive
17,17,,Indicate test thank dinner present own.,economic feel notice design baby foot lot major reflect standard organization feel room office bad argue girl,3,walterscrystal,116,21,Amazon,de,Austria,4.7.1,Yes,en,neutral
18,18,,Nice maintain present cultural pattern save east.,american music change maybe determine rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,4,adamsrussell,146,23,Amazon,pt,Poland,3.4.0,No,en,positive
19,19,,We unit than star add.,public interest fly order agency fight write pattern wrong kind certainly rate choose rock beat science,3,torresthomas,2,20,Website,en,Greenland,5.7.4,Yes,en,neutral
20,20,,Ten affect test power discuss herself.,deep national seek nature performance yeah reason property heavy town money exist smile peace apply pressure home,5,mckeetodd,90,20,Flipkart,de,Nauru,5.4.2,Yes,en,positive
21,21,,Want we difficult.,cost leader unit easy morning majority season adult range green artist election hit,1,penny21,79,19,App Store,en,Saint Lucia,5.5.2,Yes,en,negative
22,22,2025-05-05,Fish they risk she.,partner personal dinner drive check wife travel forget deal catch range dark catch read travel involve training prevent north citizen attack mouth rest,3,tali,83,27,App Store,fr,Kenya,2.2.8,No,en,neutral
23,23,,Clearly difficult impact why.,charge capital ago worry pay paper partner reach grow read live maybe paint republican hear system man,5,stephanie33,128,19,Amazon,fr,Saudi Arabia,3.7.4,No,en,positive
24,24,2024-08-06,Minute later still.,computer western pay reach term simply station result hour voice occur movie political,1,richjohn,119,16,Google Play,fr,Martinique,2.6.8,No,en,negative
25,25,,Single visit receive career.,newspaper piece fact huge similar experience coach family try ready tough position bed,1,bmorris,101,17,Google Play,hi,Christmas Island,5.1.7,No,en,negative
26,26,,Information finally shoulder.,time think bed food possible represent clearly run relationship plant risk window partner civil nearly analysis color friend television class certain shoulder,3,lroberts,149,26,App Store,zh,British Indian Ocean Territory (Chagos Archipelago),1.3.7,Yes,en,neutral
27,27,2024-06-02,Project study fear.,activity marriage material space open little improve bag outside natural people newspaper stay challenge president,5,williamsrobert,143,23,Amazon,pt,Christmas Island,2.1.7,No,en,positive
28,28,2025-07-06,Receive partner body role pick.,particularly reality organization skin concern lie use behavior follow today star serve successful assume likely business teacher forget include,4,webbhaley,29,20,Flipkart,en,Vietnam,1.4.7,Yes,en,positive
29,29,2024-06-08,South defense political real effort attack feel.,interview summer employee offer pass market role manage conference participant remember ability agency personal brother summer son increase free,1,katie15,60,23,Website,fr,Guam,4.7.5,No,en,negative
30,30,2024-02-01,At chance subject fund heart move.,pattern ahead compare form public trouble population loss physical mr leg sport argue minute north question new affect officer forward trouble,5,ashleyprice,190,25,Flipkart,ja,Nauru,1.7.9,No,en,positive
31,31,2025-05-08,Financial force show better word might yeah.,relate fire include market later week democratic company hear dark begin medium child future low,3,jennystevens,8,20,Amazon,de,Rwanda,4.7.3,No,en,neutral
32,32,,Bill my near even wall sound off.,break financial analysis summer threat billion seat serve fly court everybody kid brother chance event address performance,1,charlesaustin,175,22,Amazon,ru,Guadeloupe,3.0.6,No,en,negative
33,33,,Like water century time election guy contain.,ahead tough beat hot relate picture real pattern fine stage require provide wind sense letter capital spend turn life lay,2,kristina57,31,25,App Store,es,Libyan Arab Jamahiriya,2.9.0,Yes,en,negative
34,34,2025-06-06,Per nature wind himself future.,little goal leave color page meet research blood news audience leave opportunity,3,bmueller,62,15,Flipkart,pt,Mongolia,2.1.8,Yes,en,neutral
35,35,,Serious produce laugh.,door production main option leg computer attorney board sport management produce bed stage think tough,5,peter97,55,23,Flipkart,zh,Congo,2.9.0,No,en,positive
36,36,2025-07-03,Image itself deep community cause new.,feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,2,mary24,33,25,Website,hi,Tunisia,2.1.0,Yes,en,negative
37,37,,Need last green control painting official.,care author administration return main join wrong case south team throw receive lawyer,1,jenniferadams,91,15,Flipkart,pt,Vanuatu,3.0.2,No,en,negative
38,38,,Fine apply gas sing light mention light safe.,happen relate loss real center rule worker worker single let model particular early piece professional protect range,1,zgomez,32,21,App Store,ru,French Polynesia,1.1.7,No,en,negative
39,39,,Edge past every either scientist.,type risk article list college prevent factor agree machine camera baby,3,reneestevenson,131,15,Website,es,Palestinian Territory,4.8.3,Yes,en,neutral
40,40,2025-05-05,Politics sense break.,space end red machine son television garden base certain value study sell include produce rise cold official success,5,stevenalvarez,77,19,App Store,en,Lebanon,1.7.6,No,en,positive
41,41,,Effort once leave push.,raise hope enjoy eye high firm morning truth pm truth teach friend environment,1,jessicachapman,125,20,App Store,es,Congo,1.5.9,Yes,en,negative
42,42,,Candidate prevent tonight not whose to receive education.,question year finish action attack moment rate goal edge people arm order describe outside business beat,1,eguerrero,32,21,Amazon,pt,Northern Mariana Islands,5.8.5,No,en,negative
43,43,,Century shoulder despite poor.,realize property sit artist home election spend concern attorney woman customer hotel population,5,gbaldwin,135,17,Amazon,ar,Antigua and Barbuda,5.9.6,Yes,en,positive
44,44,2024-08-07,Long identify road speech audience difficult his.,number economy knowledge chance policy professor entire record middle vote,1,imartinez,167,13,Website,de,Vietnam,4.7.3,No,en,negative
45,45,,Cause cover rest or majority.,radio place movement ball short computer course receive piece grow plan,3,sparksdawn,116,20,App Store,ja,Luxembourg,1.5.6,No,en,neutral
46,46,,Particularly structure ask stage box organization past.,administration fund return deep president mission vote thank chance center president likely truth animal red candidate common film soldier,3,brockronald,95,26,Flipkart,ar,Sudan,1.1.1,Yes,en,neutral
47,47,,Religious order exist really.,food wish office case student soldier share friend building center collection close old card social place heavy citizen ball account,4,nschwartz,24,24,Amazon,fr,Cambodia,5.0.9,No,en,positive
48,48,,Everybody create someone rate why.,mission include visit particular conference matter wear physical girl dog brother morning believe gun seven music despite,1,kjimenez,105,20,Amazon,ja,Paraguay,1.4.9,No,en,negative
49,49,,For better scene thank.,approach hair decide edge pattern analysis science understand compare size machine break time return cup quality,3,evance,26,20,Website,ru,Latvia,2.2.7,Yes,en,neutral
50,50,,Majority yet option student evidence role save.,approach job democratic participant concern health leader create grow especially allow arrive carry surface learn commercial gas page smile point particularly color wife talk beat,1,johnhamilton,89,27,Website,zh,Cyprus,1.4.9,Yes,en,negative
51,51,,With less catch.,watch trial individual analysis yard safe mean international hour special recent well drive actually rule wear car fast positive look fight reflect teach section,4,xlopez,143,27,Website,pt,Nigeria,5.0.9,No,en,positive
52,52,2025-06-04,Book half people.,team audience throw allow international recently partner offer debate range friend usually method travel hair,1,michael81,46,17,Amazon,hi,Moldova,3.5.0,Yes,en,negative
53,53,,Question mouth factor per son war speak.,catch friend power sell reflect fly today institution approach health laugh stop like,2,lopeznicole,144,18,App Store,es,Benin,2.0.1,Yes,en,negative
54,54,,Success knowledge fight car smile commercial employee.,today eye body recent minute physical fall use listen information scene country soon strong mind official pretty skin main,4,swatson,107,26,App Store,zh,Sierra Leone,2.5.4,No,en,positive
55,55,,Hard day religious program within.,chance expect peace claim movement win stuff realize project child draw american,5,nathanfernandez,152,15,Google Play,en,Central African Republic,2.2.9,Yes,en,positive
56,56,,Question bring agent pay.,build agent use shoulder way choose wife national relate listen face want wonder chair north trade kind ready rule,1,seandavis,69,23,App Store,ja,Azerbaijan,4.9.7,No,en,negative
57,57,,Hard health expect goal within them.,develop mrs knowledge public wish hour owner memory argue project huge,3,lewispamela,55,16,Website,es,Saint Vincent and the Grenadines,3.6.1,No,en,neutral
58,58,,Face make state few one management.,eye south wife interest cause beat debate listen test series important trial increase new report sense carry control,5,ywalker,124,23,Website,hi,Afghanistan,1.3.6,Yes,en,positive
59,59,,Physical live reason build mention.,feel policy pm buy program explain conference trade population budget yes seat ok,1,brucefrancisco,52,16,Amazon,de,Azerbaijan,2.4.4,No,en,negative
60,60,,Even recently guy move goal.,leave group apply guess player western factor police message short consumer sell step,1,alexanderholmes,1,18,App Store,ja,Holy See (Vatican City State),2.2.6,Yes,en,negative
61,61,,Threat our shake garden report agreement.,include tv clear design story somebody ready weight suffer republican individual trouble bring capital admit reality catch,5,walkermelissa,143,20,Amazon,es,Cambodia,4.0.6,Yes,en,positive
62,62,,Continue goal before suffer walk.,film decide wonder interesting bear affect machine blue soldier message arrive budget education property senior site turn day,4,michael89,19,21,Amazon,pt,Dominican Republic,4.9.6,No,en,positive
63,63,,Relate news American foreign break exist.,attention standard shake respond commercial senior rise turn surface hand operation congress great democrat dinner world buy book career,3,gloria73,29,27,App Store,en,Mexico,3.2.9,No,en,neutral
64,64,,Ask window full organization.,world task sort voice happen actually purpose mission budget house reason scientist,3,bmartinez,22,17,App Store,es,Saint Kitts and Nevis,2.6.9,No,en,neutral
65,65,,Check perform benefit baby seem should.,share order series song wall green project wear memory challenge lawyer business majority discuss wall ahead scene store marriage ago condition painting,5,qharris,20,23,App Store,hi,Luxembourg,3.3.5,Yes,en,positive
66,66,,Maintain body push process rate occur.,energy gas teacher national weight involve trip fire heavy computer process single clearly issue fine,1,khart,130,19,Google Play,ru,Macedonia,5.3.5,No,en,negative
67,67,,Also price institution method inside after.,enjoy opportunity help short expect article opportunity campaign hand special agree game good generation group goal product easy possible travel assume figure,2,uchapman,60,27,Google Play,fr,Honduras,3.3.2,Yes,en,negative
68,68,,Behind front attack song little decide somebody prepare.,follow good major real day market specific property coach federal cut player wind away sure degree enter father source person response,1,william46,45,23,App Store,ar,Panama,5.9.7,No,en,negative
69,69,2025-09-07,Mission hair challenge character.,customer person law shake congress affect reflect television officer produce station visit environmental point speak table trade risk,3,megan65,38,20,App Store,es,Tokelau,4.7.4,No,en,neutral
70,70,,Evening ahead smile everyone.,plant suffer environment expert civil image box court early nice job positive,5,dawnwilliams,14,16,Amazon,ru,Saint Helena,1.4.7,No,en,positive
71,71,,Edge this draw business southern forget once.,area finish fear western public style successful door number matter build professional oil simple,1,vshaffer,14,18,Amazon,hi,Dominica,1.1.9,No,en,negative
72,72,,Education his police red total.,design blood degree impact television argue mouth record nation radio white view guy resource start paper success production wait real,4,nicholsjoel,148,25,Website,en,Kenya,4.9.3,No,en,positive
73,73,,Likely include subject response theory star station.,travel hotel bed state father teacher civil speech popular smile bag,5,william56,121,16,Website,fr,Netherlands Antilles,1.7.1,No,en,positive
74,74,,Consider then war this difference way.,scene law agree appear political picture social carry husband pick finish bank citizen require power candidate order improve vote later card community foreign example base,1,rebeccamccann,129,28,Flipkart,en,Congo,2.7.7,Yes,en,negative
75,75,,Risk country Congress society agreement.,peace outside chance color note add turn law purpose budget require course technology site explain management candidate task outside,3,joe73,95,23,Amazon,ja,Heard Island and McDonald Islands,4.5.9,Yes,en,neutral
76,76,,Accept mean herself.,beat light window huge defense interest authority news dog traditional vote,3,ilambert,16,18,Amazon,es,Uganda,5.6.4,No,en,neutral
77,77,,Might job close say man.,oil employee mean car report item employee finish material wind exactly guess involve total enjoy,5,angelalivingston,38,18,Amazon,es,Norfolk Island,5.2.5,No,en,positive
78,78,2025-04-01,Short Congress turn east marriage behind forget.,apply chance discover employee relationship job american ground magazine manage suffer term buy behavior test congress collection meet evening,4,erin16,33,26,Website,es,Holy See (Vatican City State),3.8.6,No,en,positive
79,79,,High human concern whole tend become system clear.,student child ball store process law western price forget analysis performance laugh water trade tell soon executive season natural,2,wmitchell,171,23,Website,es,Zimbabwe,4.8.5,Yes,en,negative
80,80,,Pass its international American game less.,build south financial rate capital story mention majority live institution series,3,deborahreeves,79,15,Flipkart,de,Venezuela,3.7.3,Yes,en,neutral
81,81,2024-04-08,Green one shoulder administration scientist.,picture modern fact join trade local chance campaign total success mission far necessary true message member include let result,2,lwhite,39,19,Google Play,hi,Tajikistan,1.8.8,Yes,en,negative
82,82,,Rise field spend pattern real white push source.,bar theory fear lawyer prove space game truth special decision word pull adult house actually pretty,3,martinezalexander,196,22,Website,fr,Bouvet Island (Bouvetoya),5.6.2,Yes,en,neutral
83,83,2025-05-01,Anything account piece require woman support.,receive agree loss certain drop teach mrs beat challenge instead bring total school knowledge machine drug far stop,2,benjamin67,177,22,Website,fr,Malawi,4.0.6,No,en,negative
84,84,,Capital fall represent where strategy pull same.,test discussion art affect office network environmental possible threat bring performance large job claim risk light medical rate table resource,2,kmarsh,113,25,Website,hi,Niger,4.3.8,Yes,en,negative
85,85,,Box dinner no main year size.,real beat lot community choose man soldier wall management decide adult thing ground city allow,3,carrilloangela,200,19,App Store,de,Ukraine,3.9.7,No,en,neutral
86,86,,Wide shoulder according strong list expert.,page bit watch sense window sit participant teach big black picture treat church factor kid medium run positive free case summer,3,christopherwatson,199,27,App Store,ru,Saudi Arabia,5.6.2,Yes,en,neutral
87,87,2025-07-07,Around place require produce mind fast I.,picture early send morning skin case investment truth weight gun ahead certainly act south want fire word clearly article service produce political,5,jennifer55,35,25,Amazon,en,Algeria,4.5.8,Yes,en,positive
88,88,,Memory fine future player.,particular chair identify popular thought person peace kind think sit identify culture feeling free rise science yeah exist,5,johnsonlaura,31,21,Amazon,es,Namibia,2.4.7,Yes,en,positive
89,89,,Suddenly doctor federal project spring of cause.,strategy fight institution measure rule success employee medical buy large occur accept fund door second ok research visit,4,pstone,23,18,Flipkart,ar,Bosnia and Herzegovina,3.0.6,Yes,en,positive
90,90,,Tell brother defense list second want hard.,old state guess well republican stock bank artist thousand live land hard idea single pm ready way rule indicate clear medium machine leader,4,guzmanricky,128,27,Amazon,de,British Indian Ocean Territory (Chagos Archipelago),4.1.5,Yes,en,positive
91,91,,Little result paper seven measure leave.,face mission brother figure hear family agreement central instead view figure exist standard major business individual,1,jcontreras,81,22,Google Play,zh,Tonga,2.2.0,No,en,negative
92,92,,Western my serious whatever miss.,person hold fund animal provide kitchen tend religious occur religious night buy nice,4,bshaw,178,18,Flipkart,ar,British Indian Ocean Territory (Chagos Archipelago),4.9.0,Yes,en,positive
93,93,,Collection century eight bed fill imagine college.,conference affect skill early relationship think know southern parent technology future congress agency month high woman,1,howard04,65,19,Flipkart,fr,Iceland,5.9.8,No,en,negative
94,94,,Fight image base player.,central throw election walk tonight appear dream door meet boy art let imagine machine imagine especially white push east,1,kristathomas,198,24,Amazon,de,Mauritania,3.1.0,Yes,en,negative
95,95,,One member animal school none.,mr interest treatment later let stop eye art event economy successful,4,christopher12,163,16,Website,ar,Saint Kitts and Nevis,1.1.7,Yes,en,positive
96,96,,Including time reflect several.,decision measure soon war play woman remain early work game outside administration reality position ability live,5,cobbdebra,147,20,Flipkart,fr,Belarus,3.6.0,No,en,positive
97,97,2024-06-08,Doctor management guy exactly toward.,staff knowledge heavy group concern recent leg view know develop exactly tv group bed party field,2,adrianjoyce,146,22,App Store,fr,Northern Mariana Islands,1.8.5,Yes,en,negative
98,98,,Ability interview pull practice take follow such.,thank notice management necessary process radio compare open second camera value talk thing rock summer age wide question pass,5,rhill,139,22,Website,ru,Malaysia,5.0.6,No,en,positive
99,99,2024-08-09,Something various subject east list when strategy start.,guess service different information large accept create bank occur agent interest avoid economic clearly financial personal benefit lose space,1,sherryparsons,162,22,App Store,zh,Nicaragua,3.0.5,Yes,en,negative
100,100,,Far high benefit.,personal beat art finish summer site artist sort area particularly big argue,3,mhall,61,15,Google Play,pt,Solomon Islands,3.2.0,No,en,neutral
101,101,2024-07-07,During someone art find.,action somebody people fund visit situation law foreign court bill organization subject meet green loss,5,ppalmer,86,21,Flipkart,ar,Saudi Arabia,4.2.2,Yes,en,positive
102,102,,Country little reality level realize system.,certainly light owner fact wife military price arm medical strong teach instead crime customer training size,4,christina65,9,18,Amazon,de,Central African Republic,1.3.0,No,en,positive
103,103,,Current exist despite.,treat turn police level defense lose shoulder spring day contain wrong guy available air boy fact create analysis,3,jennifer58,131,23,App Store,ru,Ecuador,4.4.0,Yes,en,neutral
104,104,,Third capital couple mouth.,successful treat quality skin book figure drive special produce wait young think assume,3,louis63,91,18,Google Play,zh,Uruguay,3.1.5,No,en,neutral
105,105,,Debate thus later.,family chance easy picture evidence meet major road ask meet population meeting material focus hear reason resource manager environmental husband tv,4,randytorres,190,29,App Store,ja,Tuvalu,3.2.7,No,en,positive
106,106,,Better author although customer cultural.,church successful effort far million discover american mention later source conference doctor population grow bar successful mention poor skill,3,john43,132,25,Amazon,es,Romania,4.1.6,Yes,en,neutral
107,107,,Serious reveal left social fine could show.,sell science treatment federal state watch state activity pressure writer week tend dinner rich decide,5,cclark,75,20,Amazon,es,Timor-Leste,1.5.4,No,en,positive
108,108,,Nothing sometimes trial off hospital high.,hear officer campaign wall act special fund industry rate idea single mrs age size child,4,ybrown,154,18,App Store,fr,Comoros,4.5.7,Yes,en,positive
109,109,2024-01-06,Sea home tough deal that finally stand.,forget police fight commercial push concern major cost attorney white exist process attorney arm million commercial teacher improve church book movie,3,kmoore,157,23,App Store,hi,Wallis and Futuna,1.1.6,No,en,neutral
110,110,,Statement sure indeed conference pay it his probably.,datum respond learn cut yard knowledge station painting east forget notice leg explain thing lead red republican father,5,longsonya,191,20,Flipkart,en,Dominican Republic,2.9.7,Yes,en,positive
111,111,,However action boy true force.,event physical factor trouble recently reveal describe management building hard sense mean single improve close debate ago police leave gas human,2,ewashington,17,23,Flipkart,zh,Belize,3.6.9,Yes,en,negative
112,112,2025-08-09,Hospital final appear above.,require likely evidence claim stuff parent concern buy collection provide action event key concern research mother kind answer play mission,5,pwang,39,22,App Store,zh,Holy See (Vatican City State),3.7.1,Yes,en,positive
113,113,,Building degree ground community I first.,customer administration agreement address star benefit right analysis mention spring follow phone person house,5,olewis,93,18,App Store,zh,Bahrain,3.3.1,Yes,en,positive
114,114,,Treatment large memory score me relate actually again.,practice hard attack despite feel work big movie commercial outside wonder recent question win forward play fish surface lot friend,2,parkerjoann,127,24,Website,ja,Saudi Arabia,5.1.4,No,en,negative
115,115,,Day approach truth write soon.,bag case material dark heart politic draw rise write kitchen theory care fish minute possible eye agency suggest,4,cathyjames,54,20,Website,hi,Gibraltar,4.3.1,Yes,en,positive
116,116,,Even sit bag win huge.,picture ask man west appear yeah voice community nature somebody door right find return computer eat experience large,1,thomashenderson,115,21,Flipkart,ar,New Caledonia,1.5.5,Yes,en,negative
117,117,2024-08-01,Man understand wait wife health majority.,set standard soldier high serve tv organization check risk figure exist lose resource cultural trouble technology,5,ortizbenjamin,138,22,Amazon,hi,Uruguay,2.2.5,Yes,en,positive
118,118,2025-08-04,End lay race effect.,usually class remember play happy prepare unit save drug spend piece,1,alexanderwise,51,18,Flipkart,de,Norway,4.0.5,No,en,negative
119,119,,According collection man best similar.,huge million country institution stop education safe sell thank body sport especially decide security,4,pwarren,141,22,Flipkart,pt,France,1.1.4,No,en,positive
120,120,,Ahead doctor magazine set act entire.,color hear region cup consider way late sport control arrive consumer total impact phone person coach fall help everybody,4,ortegakristina,134,21,App Store,ja,Armenia,5.1.2,No,en,positive
121,121,2025-09-08,Rise thousand catch own than evidence.,mission account owner seven usually list radio gas firm dream guess huge particularly wish south able,1,miguelmontgomery,115,21,App Store,ru,Palestinian Territory,3.2.8,Yes,en,negative
122,122,2024-01-01,Size respond all marriage beautiful strategy you.,method produce point walk focus plant wide save question partner bank use tax safe family crime century mind,2,cjackson,110,26,Website,en,Zimbabwe,1.8.2,No,en,negative
